audio-processed,label_y,mean_pitch,mean_energy,speech_rate
"[-390.0313415527344, 55.235965728759766, -15.034649848937988, -10.704581260681152, -6.318040370941162, 9.424742698669434, -20.74186134338379, -12.001622200012207, -7.151768207550049, -7.919952392578125, 1.6460082530975342, -0.940950334072113, 2.213202714920044, 1.653161644935608, 3.871626615524292, 3.2047030925750732, -2.301952600479126, -3.261357069015503, -3.6698551177978516, -4.040431022644043, -11.275644302368164, -1.3461463451385498, -7.081009387969971, -0.29603132605552673, 11.39013957977295, 14.699959754943848, 25.25697135925293, 24.007362365722656, 21.016347885131836, 12.298474311828613, 3.854008913040161, -0.7920625805854797, 5.114194393157959, 9.98659896850586, 4.946116924285889, 3.6242358684539795, -3.1978962421417236, 3.2577965259552, 7.468831539154053, 3.8272910118103027]",angry,407.42990646854025,0.042687666,35
"[-451.01947021484375, 67.048828125, -0.4482574462890625, -16.812129974365234, -14.137627601623535, 12.182583808898926, -8.768964767456055, -0.8330885171890259, -12.662773132324219, 1.0330606698989868, -7.18815803527832, 3.7225677967071533, 4.862129211425781, -0.5308107137680054, 5.655160427093506, -0.737815797328949, -1.3031561374664307, -7.192403316497803, -1.8433908224105835, -6.712504863739014, -7.272547721862793, -0.5954185128211975, -4.815977573394775, 1.6835182905197144, 10.104722023010254, 18.710071563720703, 25.10298728942871, 26.705904006958008, 20.117525100708008, 6.389898777008057, 3.0921823978424072, 3.652994394302368, 10.803133010864258, 10.386569023132324, 1.6682637929916382, 0.41131356358528137, -4.3412556648254395, 1.9580782651901245, 8.583109855651855, 3.625563383102417]",angry,340.1152107021699,0.023293173,34
"[-406.5633239746094, 28.609004974365234, -5.317216396331787, 2.124630928039551, -3.238452672958374, 5.009407043457031, -20.19036865234375, -2.5193381309509277, -12.905815124511719, -1.8775866031646729, -11.231724739074707, 2.015582799911499, 3.0970709323883057, 2.3544933795928955, 3.522493839263916, -3.5495502948760986, 0.07559867203235626, -3.0567305088043213, -2.9299449920654297, -8.964614868164062, -7.836749076843262, 3.9156229496002197, 0.2728902995586395, 7.777087211608887, 20.739025115966797, 23.13772964477539, 23.628738403320312, 20.491138458251953, 11.205052375793457, 1.3537479639053345, 2.8160085678100586, 4.885679244995117, 9.91261100769043, 9.770730972290039, -2.9470996856689453, -2.5617127418518066, 0.8640673160552979, 2.753765106201172, 6.778628826141357, 0.42113563418388367]",angry,368.28183705706806,0.030958988,32
"[-386.34002685546875, 53.43965148925781, -8.663544654846191, -13.309977531433105, -5.566481113433838, 8.417088508605957, -18.06822967529297, -11.134799003601074, -10.535916328430176, -8.044548034667969, 0.35115543007850647, -1.321829080581665, 2.5184404850006104, -1.8686065673828125, 4.9130120277404785, 3.2022993564605713, -6.016757488250732, -1.4430286884307861, -2.2652387619018555, -6.657345294952393, -8.3986234664917, -0.024201706051826477, -8.031614303588867, 2.979485273361206, 7.593082427978516, 13.621392250061035, 22.14690589904785, 19.975391387939453, 20.149280548095703, 13.247319221496582, 4.661685943603516, 1.4584945440292358, 7.3211493492126465, 8.219685554504395, 4.628274917602539, 4.447577476501465, -0.5830045342445374, 4.037889003753662, 5.9850873947143555, 5.131718158721924]",angry,356.4675738194304,0.044604957,38
"[-404.7848815917969, 54.46256637573242, 3.355290412902832, 10.96757984161377, 2.1670076847076416, 6.005212783813477, -25.438648223876953, 4.9357781410217285, -12.994333267211914, -16.313234329223633, -10.588129043579102, -5.183737277984619, -4.256829738616943, 0.06065862625837326, -1.6073914766311646, -5.761083602905273, -0.30659666657447815, -4.128706455230713, -0.9824854135513306, -9.210123062133789, -8.483515739440918, 2.791511297225952, 1.9263068437576294, 14.557531356811523, 24.578981399536133, 27.08180809020996, 25.31638526916504, 16.052295684814453, 9.385682106018066, -2.676241159439087, 3.537029504776001, 4.779416561126709, 6.093527793884277, 2.4064571857452393, -1.1118593215942383, 0.2206825464963913, 0.006068030372262001, 2.763911724090576, 1.9681999683380127, -1.524306297302246]",angry,372.7608544150539,0.031476106,35
"[-431.1317443847656, 51.17303466796875, -4.099320888519287, 0.36308735609054565, 3.591188907623291, 8.474002838134766, -25.658536911010742, -6.017231464385986, -9.464139938354492, -5.01437520980835, -10.135217666625977, 3.9054434299468994, 5.248001575469971, 1.1673154830932617, 3.0743300914764404, -2.3051235675811768, -0.4131799042224884, -7.4884443283081055, -4.5541768074035645, -4.861286640167236, -9.530847549438477, 2.280540704727173, -4.757591247558594, 1.4902973175048828, 11.93614673614502, 14.877009391784668, 20.127431869506836, 21.933000564575195, 19.08232879638672, 15.94677448272705, 11.399605751037598, 7.399937629699707, 8.442625999450684, 7.587639808654785, 4.7032575607299805, 5.104160308837891, 0.30465641617774963, 1.399831771850586, 6.156253337860107, 3.7472097873687744]",angry,346.5344542495131,0.029148689,35
"[-400.2613830566406, 54.79313278198242, -11.737363815307617, 0.30728879570961, -6.577618598937988, 2.2693679332733154, -23.40399742126465, -0.6249479055404663, -10.289559364318848, -3.135962963104248, -9.072896003723145, -0.10214857757091522, 0.8045510649681091, -4.155073642730713, 3.8037109375, -4.397485256195068, 0.7560410499572754, -7.008321285247803, -4.420307159423828, -9.696035385131836, -6.065533638000488, 12.409637451171875, 15.298360824584961, 23.005464553833008, 30.12825584411621, 21.701921463012695, 10.132767677307129, 5.390089511871338, 0.2554023265838623, 3.085401773452759, 8.37751293182373, 3.1942484378814697, 4.4835615158081055, 1.622388482093811, -2.354599952697754, 5.918399333953857, 1.0909571647644043, 1.2114555835723877, -0.12638823688030243, -1.1502830982208252]",angry,436.6542901702709,0.04419885,33
"[-435.23699951171875, 75.2437744140625, 9.578781127929688, -4.381339073181152, -12.30660629272461, 3.8015031814575195, -18.05756187438965, 0.6099017858505249, -15.718791961669922, -9.115133285522461, -8.787839889526367, -2.8417000770568848, -1.556349515914917, 3.839385747909546, 3.6765060424804688, -3.0700697898864746, 3.03401255607605, -2.579572916030884, 0.5565662980079651, -9.648540496826172, -14.622637748718262, -1.5388075113296509, -8.934298515319824, -4.940793991088867, 8.28546142578125, 16.530845642089844, 25.707550048828125, 29.869346618652344, 28.457399368286133, 11.53504467010498, 7.2581939697265625, 0.4058905243873596, 6.294349193572998, 7.587471008300781, 1.202626347541809, 5.517536640167236, -1.343053936958313, -0.8995406627655029, 8.195905685424805, 1.9930331707000732]",angry,346.7364200419128,0.03706796,33
"[-395.3045959472656, 62.0911979675293, 17.14370346069336, 4.7433905601501465, -19.22544288635254, -0.3120352327823639, -14.132405281066895, 4.235093116760254, -19.035579681396484, -2.271865129470825, -9.83909797668457, -4.622025966644287, 0.42863360047340393, -1.0573042631149292, 1.0052820444107056, -5.4401421546936035, -1.5496593713760376, -1.2486240863800049, 1.9254415035247803, -7.325335502624512, -9.401516914367676, -4.512991905212402, -10.07657241821289, -6.43088436126709, 3.552462100982666, 8.813364028930664, 20.664764404296875, 23.940837860107422, 24.239547729492188, 14.73633861541748, 6.973917484283447, 4.835304260253906, 6.517755031585693, 6.818177223205566, 4.038980960845947, 6.5852952003479, 2.271972179412842, -0.6789538264274597, 10.23985767364502, 0.9450774192810059]",angry,327.01073970108695,0.05040937,43
"[-404.95928955078125, 45.25135040283203, -4.794131755828857, -11.307741165161133, -12.210785865783691, 9.086162567138672, -16.32622528076172, -4.2449750900268555, -15.270037651062012, -7.6557440757751465, -7.869691848754883, 4.70410680770874, 6.922372341156006, 1.3455755710601807, 6.259902477264404, -1.9998925924301147, -2.6858394145965576, -9.588061332702637, -4.892141342163086, -3.057398557662964, -6.4294962882995605, 7.69811487197876, 8.553154945373535, 12.605850219726562, 26.81519889831543, 26.10707664489746, 17.024524688720703, 11.122218132019043, 8.064332008361816, 6.700228691101074, 8.547821044921875, 7.139017105102539, 6.153595447540283, 2.546708106994629, -2.752112865447998, 2.929656505584717, 3.017275333404541, 0.7395085692405701, 2.8647708892822266, -1.2995449304580688]",angry,387.97847638984575,0.036208287,34
